filename,cluster
CryptEx CRX whitepapers - whitepaper.io.txt.vec,0
Cryptex Finance CTX whitepapers - whitepaper.io.txt.vec,0
Crypto.com Chain CRO whitepapers - whitepaper.io.txt.vec,-1
CRYPTO20 C20 whitepapers - whitepaper.io.txt.vec,-1
CryptoArt.Ai CART whitepapers - whitepaper.io.txt.vec,0
CryptoBull 168000000 whitepapers - whitepaper.io.txt.vec,0
CryptoFranc XCHF whitepapers - whitepaper.io.txt.vec,0
Cryptoindex.com 100 CIX100 whitepapers - whitepaper.io.txt.vec,-1
Cryptonex CNX whitepapers - whitepaper.io.txt.vec,0
Cryptonity XNY whitepapers - whitepaper.io.txt.vec,0
CryptoXpress XPRESS whitepapers - whitepaper.io.txt.vec,0
Crystal Powder CP whitepapers - whitepaper.io.txt.vec,0
CS9 CS9 whitepapers - whitepaper.io.txt.vec,0
Ctomorrow Platform CTP whitepapers - whitepaper.io.txt.vec,0
Cube AUTO whitepapers - whitepaper.io.txt.vec,0
Cult DAO CULT whitepapers - whitepaper.io.txt.vec,0
Cultiplan(CTPL) CTPL whitepapers - whitepaper.io.txt.vec,0
Curio CUR whitepapers - whitepaper.io.txt.vec,0
Curve DAO Token CRV whitepapers - whitepaper.io.txt.vec,0
CurveUSD null whitepapers - whitepaper.io.txt.vec,0
CUTcoin CUT whitepapers - whitepaper.io.txt.vec,0
CyberMiles CMT whitepapers - whitepaper.io.txt.vec,0
CyberVein CVT whitepapers - whitepaper.io.txt.vec,-1
Cyclub CYCLUB whitepapers - whitepaper.io.txt.vec,0
Dacxi DACXI whitepapers - whitepaper.io.txt.vec,0
DAD DAD whitepapers - whitepaper.io.txt.vec,0
DAEX DAX whitepapers - whitepaper.io.txt.vec,0
Dai DAI whitepapers - whitepaper.io.txt.vec,0
Daneel DAN whitepapers - whitepaper.io.txt.vec,0
Dapp Token DAPPT whitepapers - whitepaper.io.txt.vec,-1
DAPS DAPS whitepapers - whitepaper.io.txt.vec,0
Darcrus MER whitepapers - whitepaper.io.txt.vec,0
Dash DASH whitepapers - whitepaper.io.txt.vec,0
DATA DTA whitepapers - whitepaper.io.txt.vec,0
DATACHAIN FOUNDATION (DC) DC whitepapers - whitepaper.io.txt.vec,-1
Datawallet DXT whitepapers - whitepaper.io.txt.vec,-1
Datum DAT whitepapers - whitepaper.io.txt.vec,0
DAV Coin DAV whitepapers - whitepaper.io.txt.vec,0
Davinci Coin DAC whitepapers - whitepaper.io.txt.vec,0
DECENT DCT whitepapers - whitepaper.io.txt.vec,0
DecentBet DBET whitepapers - whitepaper.io.txt.vec,0
Decentraland MANA whitepapers - whitepaper.io.txt.vec,0
Decimal DEL whitepapers - whitepaper.io.txt.vec,0
Decurian ECU whitepapers - whitepaper.io.txt.vec,0
DeepBrain Chain DBC whitepapers - whitepaper.io.txt.vec,0
Deeper Network DPR whitepapers - whitepaper.io.txt.vec,-1
DeepOnion ONION whitepapers - whitepaper.io.txt.vec,0
DeFIRE CWAP whitepapers - whitepaper.io.txt.vec,0
DeGate DG whitepapers - whitepaper.io.txt.vec,-1
Delphy DPY whitepapers - whitepaper.io.txt.vec,0
delta.theta DLTA whitepapers - whitepaper.io.txt.vec,-1
Denarius D whitepapers - whitepaper.io.txt.vec,0
DenDomains DDN whitepapers - whitepaper.io.txt.vec,0
Dent DENT whitepapers - whitepaper.io.txt.vec,0
Dentacoin DCN whitepapers - whitepaper.io.txt.vec,0
Dequant DEQ whitepapers - whitepaper.io.txt.vec,0
Dero DERO whitepapers - whitepaper.io.txt.vec,0
DeXe DEXE whitepapers - whitepaper.io.txt.vec,0
Dexfin DXF whitepapers - whitepaper.io.txt.vec,0
dFund DFND whitepapers - whitepaper.io.txt.vec,0
Dfyn Network DFYN whitepapers - whitepaper.io.txt.vec,0
Diabolo DCASH whitepapers - whitepaper.io.txt.vec,0
Diamond DMD whitepapers - whitepaper.io.txt.vec,0
DigiByte DGB whitepapers - whitepaper.io.txt.vec,0
DigitalBits XDB whitepapers - whitepaper.io.txt.vec,-1
DigitalNote XDN whitepapers - whitepaper.io.txt.vec,0
Digitex Futures DGTX whitepapers - whitepaper.io.txt.vec,-1
Digix Gold DGX whitepapers - whitepaper.io.txt.vec,0
DigixDAO DGD whitepapers - whitepaper.io.txt.vec,0
DIMCOIN DIM whitepapers - whitepaper.io.txt.vec,0
Dimecoin DIME whitepapers - whitepaper.io.txt.vec,0
DinoX DNXC whitepapers - whitepaper.io.txt.vec,0
Dionpay DION whitepapers - whitepaper.io.txt.vec,0
District0x DNT whitepapers - whitepaper.io.txt.vec,0
Divi DIVX whitepapers - whitepaper.io.txt.vec,0
dKargo DKA whitepapers - whitepaper.io.txt.vec,-1
DMarket DMT whitepapers - whitepaper.io.txt.vec,0
Docademic MTC whitepapers - whitepaper.io.txt.vec,0
Dock DOCK whitepapers - whitepaper.io.txt.vec,-1
Documentchain DMS whitepapers - whitepaper.io.txt.vec,0
DODO DODO whitepapers - whitepaper.io.txt.vec,-1
DogeBNB.org DOGEBNB whitepapers - whitepaper.io.txt.vec,0
Dogecoin DOGE whitepapers - whitepaper.io.txt.vec,0
DogeFather FATHER whitepapers - whitepaper.io.txt.vec,0
Dogelana DGLN whitepapers - whitepaper.io.txt.vec,0
Dogira DOGIRA whitepapers - whitepaper.io.txt.vec,0
DoKEN DOKEN whitepapers - whitepaper.io.txt.vec,0
Don-key DON whitepapers - whitepaper.io.txt.vec,0
DOSE DOSE whitepapers - whitepaper.io.txt.vec,0
DracooMaster BAS whitepapers - whitepaper.io.txt.vec,0
DraftCoin DFT whitepapers - whitepaper.io.txt.vec,0
DragonBite BITE whitepapers - whitepaper.io.txt.vec,0
Dragonchain DRGN whitepapers - whitepaper.io.txt.vec,0
DragonVein DVC whitepapers - whitepaper.io.txt.vec,0
DRIFE DRF whitepapers - whitepaper.io.txt.vec,0
Dropil DROP whitepapers - whitepaper.io.txt.vec,-1
DSLA Protocol DSLA whitepapers - whitepaper.io.txt.vec,-1
Dublr DUBLR whitepapers - whitepaper.io.txt.vec,-1
DuckDaoDime DDIM whitepapers - whitepaper.io.txt.vec,0
Ducks Finance DCKS whitepapers - whitepaper.io.txt.vec,0
Dusk Network DUSK whitepapers - whitepaper.io.txt.vec,-1
Duzce Token DUZCE whitepapers - whitepaper.io.txt.vec,1
DxChain DX whitepapers - whitepaper.io.txt.vec,0
Dynamite DYNMT whitepapers - whitepaper.io.txt.vec,0
Eagle Token EAGLE whitepapers - whitepaper.io.txt.vec,0
Earneo RNO whitepapers - whitepaper.io.txt.vec,0
ECC ECC whitepapers - whitepaper.io.txt.vec,0
Ecoreal Estate ECOREAL whitepapers - whitepaper.io.txt.vec,0
EDC Blockchain EDC whitepapers - whitepaper.io.txt.vec,0
Edgeless EDG whitepapers - whitepaper.io.txt.vec,0
Edgeware EDG whitepapers - whitepaper.io.txt.vec,-1
